
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        920 K
Secure System                  188 Services                   0     40,680 K
Registry                       232 Services                   0     27,488 K
smss.exe                       804 Services                   0        276 K
csrss.exe                     1224 Services                   0      1,724 K
wininit.exe                   1312 Services                   0        876 K
services.exe                  1460 Services                   0      6,056 K
LsaIso.exe                    1468 Services                   0        504 K
lsass.exe                     1488 Services                   0     14,344 K
svchost.exe                   1620 Services                   0     25,264 K
fontdrvhost.exe               1648 Services                   0        456 K
WUDFHost.exe                  1696 Services                   0      1,128 K
svchost.exe                   1788 Services                   0     15,732 K
svchost.exe                   1840 Services                   0      3,848 K
WUDFHost.exe                  2004 Services                   0      4,876 K
WUDFHost.exe                   928 Services                   0      3,288 K
svchost.exe                   1168 Services                   0      2,024 K
svchost.exe                   1120 Services                   0        844 K
svchost.exe                   1548 Services                   0      3,308 K
svchost.exe                   2092 Services                   0      5,032 K
svchost.exe                   2128 Services                   0      1,772 K
svchost.exe                   2136 Services                   0      5,156 K
svchost.exe                   2164 Services                   0      8,808 K
svchost.exe                   2212 Services                   0      2,828 K
IntelCpHDCPSvc.exe            2276 Services                   0      1,272 K
svchost.exe                   2320 Services                   0      1,416 K
svchost.exe                   2340 Services                   0      1,480 K
svchost.exe                   2388 Services                   0      1,112 K
svchost.exe                   2464 Services                   0     10,228 K
svchost.exe                   2544 Services                   0      4,248 K
svchost.exe                   2588 Services                   0      5,592 K
svchost.exe                   2796 Services                   0      3,352 K
svchost.exe                   2984 Services                   0     11,428 K
svchost.exe                   3104 Services                   0      2,060 K
svchost.exe                   3116 Services                   0      1,280 K
svchost.exe                   3176 Services                   0     13,728 K
svchost.exe                   3264 Services                   0      8,908 K
svchost.exe                   3316 Services                   0      1,452 K
svchost.exe                   3324 Services                   0      6,488 K
svchost.exe                   3332 Services                   0      1,296 K
Memory Compression            3444 Services                   0     80,664 K
svchost.exe                   3492 Services                   0      1,188 K
svchost.exe                   3540 Services                   0      1,888 K
TouchpointAnalyticsClient     3548 Services                   0     21,500 K
svchost.exe                   3556 Services                   0      2,904 K
AppHelperCap.exe              3572 Services                   0     10,648 K
DiagsCap.exe                  3580 Services                   0      2,156 K
NetworkCap.exe                3592 Services                   0      2,988 K
SysInfoCap.exe                3600 Services                   0     11,316 K
svchost.exe                   3772 Services                   0      7,772 K
svchost.exe                   3876 Services                   0     10,644 K
svchost.exe                   3276 Services                   0     14,940 K
svchost.exe                   3752 Services                   0      1,124 K
svchost.exe                   4272 Services                   0      3,012 K
svchost.exe                   4312 Services                   0      9,848 K
svchost.exe                   4344 Services                   0      2,788 K
spoolsv.exe                   4408 Services                   0      2,260 K
svchost.exe                   4436 Services                   0      8,472 K
svchost.exe                   4496 Services                   0      1,164 K
svchost.exe                   4600 Services                   0      2,724 K
svchost.exe                   4684 Services                   0      1,264 K
IntelAudioService.exe         4712 Services                   0      3,048 K
HPCommRecovery.exe            4720 Services                   0      5,184 K
svchost.exe                   4728 Services                   0     31,036 K
AnyDesk.exe                   4740 Services                   0      2,388 K
svchost.exe                   4748 Services                   0      1,460 K
OneApp.IGCC.WinService.ex     4756 Services                   0      6,520 K
nssm.exe                      4764 Services                   0      1,744 K
HPPrintScanDoctorService.     4772 Services                   0      1,892 K
ipf_uf.exe                    4784 Services                   0      1,180 K
svchost.exe                   4804 Services                   0     23,828 K
ETDService.exe                4812 Services                   0        820 K
ipfsvc.exe                    4824 Services                   0      1,140 K
jhi_service.exe               4832 Services                   0        848 K
svchost.exe                   4840 Services                   0      2,020 K
SECOMN64.exe                  4948 Services                   0      1,140 K
RtkAudUService64.exe          4960 Services                   0      2,248 K
RtkBtManServ.exe              4972 Services                   0      1,744 K
SafeExamBrowser.Service.e     5000 Services                   0      2,752 K
PEFService.exe                5064 Services                   0     11,092 K
mfemms.exe                    5088 Services                   0      3,224 K
ModuleCoreService.exe         4168 Services                   0      5,288 K
XtuService.exe                4548 Services                   0      7,728 K
wslservice.exe                5132 Services                   0      5,544 K
